SOP4 2017 Dates of Collection and Outcomes from Raising Immature Monarchs with Official 2018 GRTS Draw Sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used To Quantify Survival and Parasite or Pathogen Prvalence In Three Monitoring Areas of USFWS Legacy Region 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,individ,state,monarea,plotlabel,vplottype,plot2017x,plot2017y,collectdate,gstage,butrflysex,chrysldate,emergedate,daysto emerge,outcome,noparas,dateparas  emerg,datexamineOE,OEpres,tag   b4rel,tagid,releasedate,releaseWGS84X,releaseWGS84Y,plotlab2018,plotlab2018type,grts2018pt  xlong,grts2018ptylat,roadname
1,1,IA,LAM,RDS-013451-000467,RDS,"40,74227","-93,72473",6/7/2017,LI5,,.,.,.,Fly,3,6/9/2017,.,UNK,0,,.,.,.,RDS-013451-030729,ROW-013451-030729-(ROW),"40,74202","-93,72582",State Highway 2
2,2,IA,LAM,RDS-013451-000467,RDS,"40,74227","-93,72473",6/7/2017,LI5,M,.,6/22/2017,15,Adult,.,.,6/22/2017,UNK,0,,.,.,.,RDS-013451-030729,ROW-013451-030729-(ROW),"40,74202","-93,72582",State Highway 2
3,3,IA,LAM,UPG- 116829-000460,UPG,.,.,6/12/2017,LI5,F,.,6/26/2017,14,Adult,.,.,6/26/2017,UNK,0,,.,.,.,,,.,.,
4,4,IA,LAM,UPG- 116829-000460,UPG,.,.,6/12/2017,LI5,,.,.,.,Fly,4,6/14/2017,.,UNK,0,,.,.,.,,,.,.,
5,5,MO,LAM,PRG-104284-000047,PRG,"40,48720","-94,09740",6/30/2017,LI5,,.,.,.,Died,.,.,.,,0,,.,.,.,PRG-104284-058418,PGS-104284-058418-(PGS),"40,48720","-94,09775",.
6,6,MO,LAM,UPG-116829-000199,UPG,"40,51923","-94,21869",7/12/2017,LI4,F,.,7/29/2017,17,Adult,.,.,7/31/2017,UNK,0,,.,.,.,UPG-116829-039861,UGS-116829-039861-(UGS),"40,51949","-94,21833",.
7,7,IA,LAM,RDS-013451-000467,RDS,"40,74227","-93,72473",8/23/2017,LI5,M,.,9/8/2017,16,Adult,.,.,9/8/2017,UNK,0,,.,.,.,RDS-013451-030729,ROW-013451-030729-(ROW),"40,74202","-93,72582",State Highway 2
8,8,IA,LAM,AGC-022667-000276,CRP,"40,66933","-94,08272",8/24/2017,LI5,M,.,9/10/2017,17,Deformed,.,.,9/11/2017,UNK,0,,.,.,.,AGC-022667-020688,AGC-022667-020688-(ACL),"40,66914","-94,08251",.
9,9,IA,LAM,RDS-013451-000467,RDS,"40,74227","-93,72473",8/28/2017,LI4,,.,.,.,Fly,5,8/31/2017,.,,0,,.,.,.,RDS-013451-030729,ROW-013451-030729-(ROW),"40,74202","-93,72582",State Highway 2
10,10,IA,LAM,RDS-013451-000467,RDS,"40,74227","-93,72473",8/28/2017,LI4,M,.,9/18/2017,21,Adult,.,.,9/19/2017,,0,,.,.,.,RDS-013451-030729,ROW-013451-030729-(ROW),"40,74202","-93,72582",State Highway 2
11,11,IA,LAM,RDS-013451-000467,RDS,"40,74227","-93,72473",8/28/2017,LI5,F,.,9/13/2017,16,Adult,.,.,9/13/2017,UNK,0,,.,.,.,RDS-013451-030729,ROW-013451-030729-(ROW),"40,74202","-93,72582",State Highway 2
12,12,IA,LAM,RDS-013451-000467,RDS,"40,74227","-93,72473",8/31/2017,LI5,,.,.,.,Died,.,.,.,,0,,.,.,.,RDS-013451-030729,ROW-013451-030729-(ROW),"40,74202","-93,72582",State Highway 2
13,13,IA,LAM,RDS-013451-000467,RDS,"40,74227","-93,72473",8/31/2017,LI5,M,.,9/18/2017,18,Adult,.,.,9/19/2017,UNK,0,,.,.,.,RDS-013451-030729,ROW-013451-030729-(ROW),"40,74202","-93,72582",State Highway 2
14,14,MO,LAM,UPG-116829-000460,UPG,"40,53301","-94,13404",9/6/2017,LI4,,.,.,.,Died,.,.,.,,0,,.,.,.,UPG-116829-043858,UGS-116829-043858-(UGS),"40,53328","-94,13403",.
15,1,WI,NCD,RDS-006299-000078,RDS,"44,12902","-90,87867",6/19/2017,LI5,M,.,7/4/2017,15,Adult,.,.,.,,0,,7/4/2017,.,.,RDS-006299-016442,ROW-006299-016442-(ROW),"44,12895","-90,87680",Acorn Avenue
16,2,WI,NCD,CRP-075905-000726,CRP,.,.,6/27/2017,LI4,,.,.,.,Died,.,.,.,,0,,.,.,.,,,.,.,
17,3,WI,NCD,Elroy WI,Elr,.,.,6/26/2017,LI5,F,.,7/9/2017,13,Adult,.,.,.,,0,,7/9/2017,.,.,,,.,.,
